sensor_id,timestamp,temperatura,presion,flujo,consumo_kwh,data_quality,quality_flag
S1,46023,20.5,2.88,40.86,14.36,REAL,0
S1,46023.00694,20.39,2.85,39.52,13.02,REAL,0
S1,46023.01389,20.17,2.76,40.75,13.87,REAL,0
S1,46023.02083,20.05,2.94,38.68,13.83,REAL,0
S1,46023.02778,21.03,2.78,39.49,13,REAL,0
S1,46023.03472,20.99,2.92,39.16,13.83,REAL,0
S1,46023.04167,21.57,2.73,40.9,14.3,REAL,0
S1,46023.04861,21.91,2.99,39.73,14.34,REAL,0
S1,46023.05556,20.85,2.78,41.39,15.18,REAL,0
S1,46023.0625,21.58,3.06,40.54,15.28,REAL,0
S1,46023.06944,21.44,2.87,40.67,13.5,REAL,0
S1,46023.07639,20.99,2.85,41.49,14.66,REAL,0
S1,46023.08333,21.77,2.87,41.39,14.25,REAL,0
S1,46023.09028,21.41,2.86,41.44,14.58,REAL,0
S1,46023.09722,22.25,2.89,39.86,14.97,REAL,0
S1,46023.10417,22.03,2.93,41.75,14.4,REAL,0
S1,46023.11111,22.52,2.81,43.18,14.28,REAL,0
S1,46023.11806,21.63,2.84,41.88,14.73,REAL,0
S1,46023.125,22.21,2.95,41.9,16.17,REAL,0
S1,46023.13194,23.15,2.78,43.04,16.05,REAL,0
S1,46023.13889,22.87,2.98,41.58,14.73,REAL,0
S1,46023.14583,22.4,5.99,7.08,15.04,REAL,0
S1,46023.15278,22.26,2.98,43.97,14.98,REAL,0
S1,46023.15972,22.62,2.83,41.93,14.99,REAL,0
S1,46023.16667,23.23,3.05,43.35,17.07,REAL,0
S1,46023.17361,22.68,2.95,43.39,16.07,REAL,0
S1,46023.18056,22.8,2.75,43.16,16.14,REAL,0
S1,46023.1875,22.78,2.92,43.67,15.14,REAL,0
S1,46023.19444,22.53,2.81,44.12,15.97,REAL,0
S1,46023.20139,23.51,3.01,44.56,16.04,REAL,0
S1,46023.20833,23.28,2.91,46.42,14.98,REAL,0
S1,46023.21528,23.28,3.01,44.17,15.37,REAL,0
S1,46023.22222,23.54,2.84,46.25,16.23,REAL,0
S1,46023.22917,23.19,2.99,43.32,15.85,REAL,0
S1,46023.23611,22.92,2.87,43.63,15.59,REAL,0
S1,46023.24306,24.58,3,42.59,15.67,REAL,0
S1,46023.25,23.84,2.98,43.35,15.95,REAL,0
