timestamp,edificio,zona,sensor_id,flujo,consumo_kwh,temperatura,presion,data_quality,quality_flag
01/01/2026 00/00,Edificio_1,Zona_A,S1,40.86,14.36,20.5,2.88,REAL,0
01/01/2026 00/10,Edificio_1,Zona_A,S1,39.52,13.02,20.39,2.85,REAL,0
01/01/2026 00/20,Edificio_1,Zona_A,S1,40.75,13.87,20.17,2.76,REAL,0
01/01/2026 00/30,Edificio_1,Zona_A,S1,38.68,13.83,20.05,2.94,REAL,0
01/01/2026 00/40,Edificio_1,Zona_A,S1,39.49,13,21.03,2.78,REAL,0
01/01/2026 00/50,Edificio_1,Zona_A,S1,39.16,13.83,20.99,2.92,REAL,0
01/01/2026 01/00,Edificio_1,Zona_A,S1,40.9,14.3,21.57,2.73,REAL,0
01/01/2026 01/10,Edificio_1,Zona_A,S1,39.73,14.34,21.91,2.99,REAL,0
01/01/2026 01/20,Edificio_1,Zona_A,S1,41.39,15.18,20.85,2.78,REAL,0
01/01/2026 01/30,Edificio_1,Zona_A,S1,40.54,15.28,21.58,3.06,REAL,0
01/01/2026 01/40,Edificio_1,Zona_A,S1,40.67,13.5,21.44,2.87,REAL,0
01/01/2026 01/50,Edificio_1,Zona_A,S1,41.49,14.66,20.99,2.85,REAL,0
01/01/2026 02/00,Edificio_1,Zona_A,S1,41.39,14.25,21.77,2.87,REAL,0
01/01/2026 02/10,Edificio_1,Zona_A,S1,41.44,14.58,21.41,2.86,REAL,0
01/01/2026 02/20,Edificio_1,Zona_A,S1,39.86,14.97,22.25,2.89,REAL,0
01/01/2026 02/30,Edificio_1,Zona_A,S1,41.75,14.4,22.03,2.93,REAL,0
01/01/2026 02/40,Edificio_1,Zona_A,S1,43.18,14.28,22.52,2.81,REAL,0
01/01/2026 02/50,Edificio_1,Zona_A,S1,41.88,14.73,21.63,2.84,REAL,0
01/01/2026 03/00,Edificio_1,Zona_A,S1,41.9,16.17,22.21,2.95,REAL,0
01/01/2026 03/10,Edificio_1,Zona_A,S1,43.04,16.05,23.15,2.78,REAL,0
01/01/2026 03/20,Edificio_1,Zona_A,S1,41.58,14.73,22.87,2.98,REAL,0
01/01/2026 03/30,Edificio_1,Zona_A,S1,7.08,15.04,22.4,5.99,REAL,0
01/01/2026 03/40,Edificio_1,Zona_A,S1,43.97,14.98,22.26,2.98,REAL,0
